Цвет,Абсолютная частота,Относит. к словам,Относит. к цветам
темный,21,0.002228,0.119318
черный,20,0.002122,0.113636
серый,11,0.001167,0.0625
белый,11,0.001167,0.0625
красный,8,0.000849,0.045455
серебряный,7,0.000743,0.039773
траурный,6,0.000637,0.034091
лунный,6,0.000637,0.034091
зеленый,5,0.000531,0.028409
золотой,5,0.000531,0.028409
ясный,5,0.000531,0.028409
пестрый,4,0.000424,0.022727
светлый,4,0.000424,0.022727
бледный,3,0.000318,0.017045
небесный,3,0.000318,0.017045
яркий,3,0.000318,0.017045
ржавый,3,0.000318,0.017045
золотистый,2,0.000212,0.011364
седой,2,0.000212,0.011364
желтый,2,0.000212,0.011364
алый,2,0.000212,0.011364
прозрачный,2,0.000212,0.011364
блестящий,2,0.000212,0.011364
белоснежный,2,0.000212,0.011364
зеркальный,2,0.000212,0.011364
синий,2,0.000212,0.011364
солнечный,1,0.000106,0.005682
мутный,1,0.000106,0.005682
канареечный,1,0.000106,0.005682
лазурный,1,0.000106,0.005682
винный,1,0.000106,0.005682
огненный,1,0.000106,0.005682
древесный,1,0.000106,0.005682
бурый,1,0.000106,0.005682
восковой,1,0.000106,0.005682
тёмный,1,0.000106,0.005682
кровавый,1,0.000106,0.005682
коричневый,1,0.000106,0.005682
рубиновый,1,0.000106,0.005682
кофейный,1,0.000106,0.005682
чернильный,1,0.000106,0.005682
смуглый,1,0.000106,0.005682
коралловый,1,0.000106,0.005682
желтенький,1,0.000106,0.005682
серенький,1,0.000106,0.005682
зеленоватый,1,0.000106,0.005682
гранатовый,1,0.000106,0.005682
грязно-серый,1,0.000106,0.005682
серо-серебристый,1,0.000106,0.005682
свежий,1,0.000106,0.005682
лиловый,1,0.000106,0.005682
хрустально-золотой,1,0.000106,0.005682
заколдованно-светлый,1,0.000106,0.005682
черно-багровый,1,0.000106,0.005682
медный,1,0.000106,0.005682
переливающийся,1,0.000106,0.005682
голубой,1,0.000106,0.005682
радужный,1,0.000106,0.005682
угольный,1,0.000106,0.005682
