Цвет,Абсолютная частота,Относит. к словам,Относит. к цветам
алый,27,0.000621,0.123853
ясный,26,0.000598,0.119266
белый,17,0.000391,0.077982
красный,15,0.000345,0.068807
желтый,12,0.000276,0.055046
винный,12,0.000276,0.055046
черный,10,0.00023,0.045872
темный,10,0.00023,0.045872
золотой,8,0.000184,0.036697
яркий,7,0.000161,0.03211
серебряный,7,0.000161,0.03211
бледный,6,0.000138,0.027523
стальной,5,0.000115,0.022936
зеленый,5,0.000115,0.022936
седой,4,9.2e-05,0.018349
свежий,3,6.9e-05,0.013761
траурный,3,6.9e-05,0.013761
темно-русый,2,4.6e-05,0.009174
мрачный,2,4.6e-05,0.009174
медный,2,4.6e-05,0.009174
мужской,2,4.6e-05,0.009174
смуглый,2,4.6e-05,0.009174
голубой,2,4.6e-05,0.009174
светлый,2,4.6e-05,0.009174
багрово-красный,2,4.6e-05,0.009174
кровавый,1,2.3e-05,0.004587
небесный,1,2.3e-05,0.004587
карий,1,2.3e-05,0.004587
пестрый,1,2.3e-05,0.004587
рыжий,1,2.3e-05,0.004587
зеленоватый,1,2.3e-05,0.004587
красноватый,1,2.3e-05,0.004587
сизый,1,2.3e-05,0.004587
тёмный,1,2.3e-05,0.004587
табачный,1,2.3e-05,0.004587
желтенький,1,2.3e-05,0.004587
розовый,1,2.3e-05,0.004587
серенький,1,2.3e-05,0.004587
синий,1,2.3e-05,0.004587
румяный,1,2.3e-05,0.004587
свинцовый,1,2.3e-05,0.004587
прохладный,1,2.3e-05,0.004587
тусклый,1,2.3e-05,0.004587
серый,1,2.3e-05,0.004587
бутылочный,1,2.3e-05,0.004587
солнечный,1,2.3e-05,0.004587
светло-голубой,1,2.3e-05,0.004587
рыжеватый,1,2.3e-05,0.004587
белокурый,1,2.3e-05,0.004587
угольный,1,2.3e-05,0.004587
