Цвет,Абсолютная частота,Относит. к словам,Относит. к цветам
бурый,137,0.000471,0.096547
белый,128,0.00044,0.090204
ясный,115,0.000395,0.081043
красный,91,0.000313,0.06413
блестящий,86,0.000295,0.060606
черный,78,0.000268,0.054968
винный,54,0.000185,0.038055
бледный,47,0.000161,0.033122
мрачный,42,0.000144,0.029598
светлый,40,0.000137,0.028189
темный,40,0.000137,0.028189
золотой,39,0.000134,0.027484
серый,38,0.000131,0.026779
свежий,35,0.00012,0.024665
зеленый,34,0.000117,0.023961
яркий,33,0.000113,0.023256
седой,30,0.000103,0.021142
синий,29,0.0001,0.020437
румяный,28,9.6e-05,0.019732
голубой,24,8.2e-05,0.016913
мужской,18,6.2e-05,0.012685
желтый,17,5.8e-05,0.01198
рыжий,17,5.8e-05,0.01198
серебряный,13,4.5e-05,0.009161
алый,12,4.1e-05,0.008457
лунный,11,3.8e-05,0.007752
багровый,10,3.4e-05,0.007047
карий,10,3.4e-05,0.007047
розовый,10,3.4e-05,0.007047
мраморный,9,3.1e-05,0.006342
белокурый,9,3.1e-05,0.006342
русый,7,2.4e-05,0.004933
мутный,6,2.1e-05,0.004228
маркий,6,2.1e-05,0.004228
лиловый,6,2.1e-05,0.004228
коричневый,5,1.7e-05,0.003524
восковой,5,1.7e-05,0.003524
огненный,4,1.4e-05,0.002819
черноватый,4,1.4e-05,0.002819
загорелый,4,1.4e-05,0.002819
прозрачный,4,1.4e-05,0.002819
весенний,4,1.4e-05,0.002819
серенький,3,1e-05,0.002114
коричневатый,3,1e-05,0.002114
бронзовый,3,1e-05,0.002114
переливающийся,3,1e-05,0.002114
солнечный,3,1e-05,0.002114
небесный,3,1e-05,0.002114
стальной,3,1e-05,0.002114
темно-зеленый,2,7e-06,0.001409
монотонный,2,7e-06,0.001409
малиновый,2,7e-06,0.001409
желтоватый,2,7e-06,0.001409
тусклый,2,7e-06,0.001409
красно-желтый,2,7e-06,0.001409
синеватый,2,7e-06,0.001409
молочно-белый,2,7e-06,0.001409
медовый,2,7e-06,0.001409
телесный,2,7e-06,0.001409
матовый,2,7e-06,0.001409
рыжеватый,2,7e-06,0.001409
прохладный,2,7e-06,0.001409
сливочный,1,3e-06,0.000705
морковный,1,3e-06,0.000705
снежно-белый,1,3e-06,0.000705
зеркальный,1,3e-06,0.000705
табачный,1,3e-06,0.000705
пунцово-красный,1,3e-06,0.000705
металлический,1,3e-06,0.000705
пестрый,1,3e-06,0.000705
багрово-румяный,1,3e-06,0.000705
красно-багровый,1,3e-06,0.000705
горячо-красный,1,3e-06,0.000705
медный,1,3e-06,0.000705
молочный,1,3e-06,0.000705
ядовитый,1,3e-06,0.000705
кирпичный,1,3e-06,0.000705
угольный,1,3e-06,0.000705
желто-бледный,1,3e-06,0.000705
темно-синий,1,3e-06,0.000705
светло-желтый,1,3e-06,0.000705
темно-бурый,1,3e-06,0.000705
золотистый,1,3e-06,0.000705
ярко-красный,1,3e-06,0.000705
ярко-зеленый,1,3e-06,0.000705
фиолетовый,1,3e-06,0.000705
красно-загорелый,1,3e-06,0.000705
сине-лиловый,1,3e-06,0.000705
жемчужный,1,3e-06,0.000705
морской,1,3e-06,0.000705
пшеничный,1,3e-06,0.000705
песочный,1,3e-06,0.000705
кирпично-красный,1,3e-06,0.000705
болотный,1,3e-06,0.000705
голубоватый,1,3e-06,0.000705
