Позиция(токен),Цвет
295,свежий
1835,кровавый
2402,желтый
2768,ясный
2944,винный
3997,винный
4322,алый
4330,алый
4538,винный
4852,черный
4902,ясный
6348,белый
6462,темный
6547,ясный
7332,небесный
7842,винный
7847,алый
7917,ясный
8512,карий
9118,темный
9121,темно-русый
9284,пестрый
9437,рыжий
9806,темный
9811,черный
10007,ясный
10068,темный
10334,желтый
10348,яркий
10408,желтый
10441,желтый
10598,серебряный
10611,стальной
10663,алый
10855,стальной
10885,алый
11036,алый
11050,серебряный
11128,алый
11278,яркий
11422,темный
11627,седой
11818,мрачный
11887,красный
11898,черный
11943,черный
11972,винный
12159,желтый
12162,зеленоватый
12179,красноватый
12228,черный
12282,сизый
12809,красный
12812,черный
13235,желтый
13250,желтый
13920,золотой
14019,черный
14370,винный
14425,винный
14788,красный
14941,винный
14944,винный
14950,винный
15076,зеленый
15269,желтый
16806,алый
16814,алый
17488,красный
17616,темный
17641,темный
17824,темно-русый
17962,табачный
18114,темный
18627,медный
18755,красный
18918,желтенький
19072,белый
19307,желтый
19713,алый
20935,белый
22870,ясный
24253,бледный
24304,желтый
24999,ясный
25185,алый
25257,алый
25737,ясный
25748,черный
25889,золотой
25921,ясный
26058,ясный
26062,ясный
26417,ясный
26633,алый
26739,ясный
27558,розовый
27734,седой
27877,мужской
28926,винный
28944,алый
30073,зеленый
30131,зеленый
30226,алый
30488,серенький
30637,черный
30659,зеленый
30705,белый
30905,винный
31080,красный
31082,синий
31110,красный
31334,румяный
31849,седой
31852,седой
32203,красный
32522,темный
32750,ясный
32817,бледный
32903,яркий
32905,яркий
32907,красный
33369,алый
33596,алый
33630,алый
34085,алый
34133,серебряный
34137,золотой
34142,красный
34268,алый
34334,алый
34522,белый
34723,смуглый
34932,свежий
35480,свинцовый
35699,алый
35903,прохладный
35909,голубой
35923,золотой
35929,ясный
36109,белый
36413,серебряный
36498,белый
37707,белый
37873,темный
38756,бледный
38975,яркий
38977,ясный
39181,алый
39259,алый
39451,серебряный
39469,бледный
39494,бледный
39546,серебряный
39558,серебряный
39746,светлый
39985,стальной
40152,ясный
40292,медный
40317,стальной
40510,красный
40517,стальной
40531,белый
40539,красный
40570,красный
40579,красный
40584,красный
40633,золотой
40647,золотой
40828,белый
41331,белый
41382,тусклый
41451,темный
42189,алый
43927,светлый
44656,белый
45184,алый
45233,мужской
45368,серый
45375,бутылочный
46152,яркий
46179,яркий
46180,солнечный
46651,багрово-красный
46704,траурный
46843,смуглый
46874,белый
46879,золотой
46913,багрово-красный
46960,светло-голубой
46962,белый
47016,траурный
47108,рыжеватый
47543,ясный
47939,траурный
48764,свежий
48770,белокурый
49035,золотой
49866,мрачный
49981,ясный
50357,алый
50613,ясный
50616,ясный
50678,желтый
50682,желтый
50834,ясный
50843,бледный
50849,черный
51351,белый
51631,ясный
51791,угольный
53876,белый
54154,зеленый
54245,голубой
54315,ясный
54912,ясный
54995,ясный
55340,белый
