Позиция(токен),Цвет
458,ясный
564,ясный
637,ясный
752,черный
873,алый
1765,красный
1846,светлый
1919,седой
2578,свежий
4629,золотой
4712,мрачный
4748,светлый
4751,блестящий
4752,белый
4798,серебряный
4887,серенький
5033,светлый
5044,коричневый
5622,блестящий
5700,румяный
6067,зеленый
6127,белый
6731,темно-зеленый
7047,монотонный
7889,коричневый
8120,белый
8532,белый
8547,белый
8806,светлый
9800,золотой
10440,красный
10442,синий
11735,бурый
12399,винный
12492,черный
12557,ясный
13825,свежий
14084,белый
15203,свежий
15527,блестящий
16369,коричневый
16574,ясный
16790,коричневатый
16813,яркий
17306,яркий
17393,багровый
17819,белый
18082,винный
18127,ясный
18284,красный
18287,красный
18452,белый
18454,румяный
18478,свежий
18482,русый
18486,черный
18496,свежий
18508,черный
18548,красный
18601,винный
18618,белый
18733,белый
19145,светлый
19146,голубой
19244,огненный
19339,светлый
19524,белый
20067,светлый
20072,белый
20167,бледный
20170,красный
20510,бледный
21245,седой
21271,мраморный
21348,винный
21395,золотой
22502,мужской
22561,малиновый
22572,румяный
22717,черный
22841,черный
22866,свежий
22873,черный
22951,мрачный
23249,белокурый
23266,серый
23298,свежий
23329,русый
23344,карий
23359,черный
23832,черный
23842,желтоватый
24437,белый
25844,белый
27764,красный
28222,бронзовый
28699,монотонный
29603,румяный
30538,ясный
31574,седой
31877,золотой
32453,свежий
32455,розовый
32473,розовый
33190,блестящий
33340,мрачный
33344,белый
33707,седой
34276,седой
34317,мужской
34372,голубой
34378,винный
34417,седой
34428,мужской
34584,винный
34902,винный
34946,винный
34959,винный
35196,мужской
36005,мужской
36061,блестящий
36236,сливочный
36241,морковный
36392,красный
36998,мрачный
37373,розовый
37400,коричневатый
37522,синий
38333,лунный
38378,лунный
38406,золотой
38678,мрачный
39040,мрачный
39811,мужской
40786,свежий
40896,ясный
40950,белый
41164,серый
41431,тусклый
41886,ясный
42406,черный
43966,бледный
44762,бледный
44868,красный
44885,красный
44887,яркий
44914,снежно-белый
44929,яркий
44930,зеленый
44944,седой
44965,красно-желтый
45003,восковой
45027,блестящий
45206,мужской
45297,румяный
45466,белый
45473,зеленый
45721,красно-желтый
45725,седой
45870,седой
46012,зеленый
46783,зеркальный
46808,яркий
47657,бледный
47737,бледный
47896,темный
48356,бурый
48700,серый
48720,блестящий
48851,мраморный
